 allele idx position risk_hete risk_homo rs
5388 1 5388 22152390 1.48973873441 2.97947746882 rs9620278
1510 0 1510 16907889 1.44837176961 2.89674353922 rs455758
1501 1 1501 16890873 1.49059724572 2.98119449145 rs424962
8858 0 8858 25640922 1.27268860505 2.54537721011 rs9613298
6309 1 6309 23531242 1.28203556952 2.56407113904 rs9608340
8258 1 8258 25186766 1.39142898712 2.78285797423 rs713998
5007 1 5007 21731173 1.25189558954 2.50379117908 rs9612225
40 1 40 15002875 1.25566244649 2.51132489299 rs6010298
9125 1 9125 25738063 1.42184004683 2.84368009367 rs134913
1229 0 1229 16599872 1.29067939865 2.58135879731 rs181399
