position COMBINED_rate(cM/Mb) Genetic_Map(cM)
14431347 9.6640973708 0
14432618 9.7078062447 0.0122830678
14433624 9.7138922111 0.0220491208
14433659 9.7163435060 0.0223891071
14433758 9.7078087850 0.0233510251
14434713 9.5801157234 0.0326219825
14434960 9.5805112114 0.0349882710
14435070 6.2364537599 0.0360421273
14435171 6.2367174178 0.0366720091
14435207 6.2427493746 0.0368965309
14439734 3.9826855685 0.0651574574
14441016 3.9611463686 0.0702632603
14441342 3.9611463686 0.0715545940
14449374 3.8490681814 0.1033705216
14452292 3.8361315759 0.1146021026
14459493 3.8361315759 0.1422260860
14479437 3.8395844392 0.2187338942
14480059 3.8437121020 0.2211221157
14482325 3.8442446297 0.2298319673
14483902 3.8410445010 0.2358943411
14490036 3.8401104866 0.2594553081
14492336 3.8380568509 0.2682875622
14516814 3.9599609771 0.3622355178
14520628 7.1357779607 0.3773388090
14553179 7.1344157513 0.6096155174
14607431 7.7588863353 0.9966718407
14611423 7.7581285460 1.0276453150
14632600 8.2936027089 1.1919392032
14647521 8.2928451412 1.3156880492
14697416 8.4678641827 1.7294595575
14724414 8.6295808956 1.9580749547
14724572 8.6363169331 1.9594384285
14725582 8.6430472952 1.9681611086
14725954 8.6447281629 1.9713763222
14726071 8.4467069144 1.9723877554
14727194 6.0762272273 1.9818734073
14731604 5.7065774019 2.0086695693
14731852 3.0363696001 2.0100848005
14744825 2.5182638900 2.0494756233
14745495 0.7453698944 2.0511628602
14787120 0.1364496279 2.0821888820
14853585 0.1364498034 2.0912580065
14869239 0.5395889252 2.0933939917
14874095 0.5395050468 2.0960142356
14874187 0.6572459529 2.0960638700
14874473 0.6507599658 2.0962518424
14874682 0.5121806841 2.0963878512
14884399 0.1252975627 2.1013647109
14967208 0.2506375924 2.1117404768
14978987 0.3840983843 2.1146927370
14989899 0.4167777364 2.1188840186
14996145 0.4426071878 2.1214872123
14999031 0.5187491818 2.1227645766
15009152 0.6087594852 2.1280148371
